"Finished","Q2","Q3","Q3_7_TEXT","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_7","Q6_1","Q6_2","Q6_3","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q7_8","Q7_9","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_6","Q8_7","Q8_8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q18","Q20","Q21","Q22","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q27","Q28","Q28_12_TEXT","Q29","Q29_20_TEXT","Q30_1","Q30_2","Q30_4","Q30_6","Q30_6_TEXT","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q31_7","Q31_8","Q31_9","Q31_10","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q43","SC0"
"TRUE","22","Small Animal","","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Slightly confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Don't Know","Inhibition of protein synthesis","Don't Know","Don't Know","Inhibition of folic acid synthesis","Inhibition of protein synthesis","Bactericidal","Bactericidal","Bactericidal","Bacteriostatic","Don't Know","Don't Know","Don't Know","Bacteriostatic","Cefovecin","Marbofloxacin","Gentamicin","Clindamycin","Don't Know","Don't Know","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Slightly confident","Not at all confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Don't Know","TRUE","Don't Know","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Somewhat confident","Somewhat confident","Not at all confident","Not at all confident","Slightly confident","Slightly confident","Yes","ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats,ISCAID Guidelines for the diagnosis and antimicrobial therapy of canine superficial bacterial folliculitis,ISCAID Antimicrobial use guidelines for treatment of respiratory tract disease in dogs and cats",NA,"ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats",NA,"20","20","60","0",NA,"FALSE","Don't Know","FALSE","Don't Know","Don't Know","TRUE","Don't Know","Don't Know","Don't Know","TRUE","Don't Know","Antimicrobials are not required at this time","Antimicrobials are not required at this time","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","Feeding medicated milk replacer (neomycin and oxytetracycline) for 14 days, 5-day withdrawal period","Systemic antimicrobials are not required at this time","Don't Know","3-day course of IM penicillin, 6 day withhold","Yes","34"
"TRUE","51","Small Animal","","Very confident","Slightly confident","Slightly confident","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","TRUE","TRUE","FALSE","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Bactericidal","Bactericidal","Bactericidal","Don't Know","Don't Know","Don't Know","Bacteriostatic","Don't Know","Chloramphenicol","Erythromycin","Don't Know","Trimethoprim-Sulfamethoxazole","Marbofloxacin, Ampicillin, Metronidazole","IV amikacin in a foal with septicemia due to pyelonephritis","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Very confident","Somewhat confident","Slightly confident","Somewhat confident","Slightly confident","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AABP Antimicrobial Stewardship Guidelines,AAAP Antimicrobial Stewardship for Poultry,ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats",NA,"None of these",NA,"30","10","60","0",NA,"FALSE","Don't Know","Don't Know","Don't Know","FALSE","TRUE","TRUE","Don't Know","TRUE","Don't Know","Soluble lincomycin mixed with sugar and fed to honeybees","Antimicrobials are not required at this time","10-day course of doxycycline","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","Antimicrobials are not required at this time","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","Don't Know","Yes","30"
"TRUE","14","Other","","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Not at all confident","Slightly confident","Slightly confident","TRUE","TRUE","TRUE","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Amikacin","Marbofloxacin","Don't Know","Don't Know","Don't Know","IV amikacin in a foal with septicemia due to pyelonephritis","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Not at all confident","Slightly confident","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","Don't Know","TRUE","FALSE","TRUE","TRUE","Somewhat confident","Not at all confident","Not at all confident","Not at all confident","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Yes","AVMA Judicious Therapeutic Use of Antimicrobials",NA,"None of these",NA,"5","35","60","0",NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Don't Know","TRUE","Tylosin mixed in feed and fed to beef cattle","Antimicrobials are not required at this time","10-day course of doxycycline","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","Antimicrobials are not required at this time","Systemic antimicrobials are not required at this time","Give all mastitis cows one dose of IMM ceftiofur after taking a milk sample for culture, then modify treatment based on culture results. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","30"
"TRUE","52","Other","","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","TRUE","TRUE","FALSE","Don't Know","Inhibition of cell wall synthesis","Inhibition of protein synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Bactericidal","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Amikacin","Don't Know","Cephalexin","Clindamycin","Ampicillin, Cefazolin, Colistin","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, drug degradation","Intrinsic resistance, drug degradation","Don't Know","Don't Know","FALSE","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","FALSE","Slightly confident","Not at all confident","Slightly confident","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Yes","Not sure",NA,NA,NA,"15","15","70","0",NA,"FALSE","Don't Know","Don't Know","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","Don't Know","Antimicrobials are not required at this time","Antimicrobials are not required at this time","Topical chlorhexidine three times a week for two weeks","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","Antimicrobials are not required at this time","Regional limb perfusion with amikacin","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","26"
"TRUE","53","Other","","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Not at all confident","Somewhat confident","TRUE","TRUE","FALSE","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Bactericidal","Bacteriostatic","Bactericidal","Bacteriostatic","Bactericidal","Bactericidal","Bacteriostatic","Bacteriostatic","Chloramphenicol","Marbofloxacin","Cephalexin","Trimethoprim-Sulfamethoxazole","Clindamycin, Cefpodoxime, Ciprofloxacin","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","Don't Know","FALSE","TRUE","FALSE","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Slightly confident","No",NA,NA,NA,NA,"10","0","90","0",NA,"FALSE","FALSE","Don't Know","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Don't Know","Antimicrobials are not required at this time","Antimicrobials are not required at this time","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","Feeding medicated milk replacer (neomycin and oxytetracycline) for 14 days, 5-day withdrawal period","5-day course of IM ceftiofur sodium","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","No","33"
"TRUE","17","Other","","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Don't Know","Inhibition of folic acid synthesis","Inhibition of nucleic acid synthesis","Inhibition of cell wall synthesis","Inhibition of folic acid synthesis","Inhibition of protein synthesis","Bacteriostatic","Bactericidal","Bactericidal","Don't Know","Don't Know","Bactericidal","Bactericidal","Bacteriostatic","Amikacin","Erythromycin","Cephalexin","Trimethoprim-Sulfamethoxazole","Don't Know","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Slightly confident","Not at all confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Yes","AVMA Judicious Therapeutic Use of Antimicrobials,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance,ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats,ISCAID Guidelines for the diagnosis and antimicrobial therapy of canine superficial bacterial folliculitis",NA,"ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance,ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats,ISCAID Guidelines for the diagnosis and antimicrobial therapy of canine superficial bacterial folliculitis",NA,"25","25","25","25","all others that can prescribe antimicrobials","FALSE","Don't Know","Don't Know","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","Don't Know","Tylosin mixed in feed and fed to beef cattle","Antimicrobials are not required at this time","Antimicrobials are not required at this time","Topical chlorhexidine three times a week for two weeks","3-day course of amoxicillin","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","Feeding medicated milk replacer (neomycin and oxytetracycline) for 14 days, 5-day withdrawal period","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","41"
"TRUE","6","Other","","Very confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Very confident","TRUE","TRUE","FALSE","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Bactericidal","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Cephalexin","Enrofloxacin","Marbofloxacin, Ampicillin, Metronidazole","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Very confident","Very confident","Very confident","Very confident","Very confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Very confident","Somewhat confident","Very confident","Very confident","Very confident","Very confident","Somewhat confident","Somewhat confident","Very confident","Very confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials,AABP Antimicrobial Stewardship Guidelines,AABP-AVC Judicious Therapeutic Use of Antimicrobials in Cattle",NA,"None of these",NA,"10","20","70","0",NA,"FALSE","TRUE","Don't Know","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","Bambermycins mixed in feed and fed to chickens","10-day course of amoxicillin-clavulanic acid","Don't Know","Topical chlorhexidine three times a week for two weeks","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","5-day course of IM ceftiofur sodium","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","33"
"FALSE","54","Small Animal","","Slightly confident","Not at all confident","Not at all confident","Slightly confident","Slightly confident","Slightly confident","Not at all confident","FALSE","TRUE","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"FALSE","55","Other","","Very confident","Slightly confident","Somewhat confident","Slightly confident","Not at all confident","Somewhat confident","Somewhat confident","TRUE","TRUE","FALSE","Inhibition of nucleic acid synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Inhibition of nucleic acid synthesis","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of protein synthesis","Bacteriostatic","Bactericidal","Bactericidal","Bactericidal","Bacteriostatic","Bacteriostatic","Bacteriostatic","Bacteriostatic","Amikacin","Erythromycin","Cephalexin","Enrofloxacin","Marbofloxacin, Ampicillin, Metronidazole","SQ tilmicosin in beef calves with bovine respiratory disease that cannot be safely restrained","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Not at all confident","Not at all confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16"
"FALSE","56","Small Animal","","Very confident","Slightly confident","Slightly confident","Not at all confident","Slightly confident","Slightly confident","Slightly confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Inhibition of folic acid synthesis","Don't Know","Don't Know","Don't Know","Inhibition of nucleic acid synthesis","Inhibition of cell wall synthesis","Bacteriostatic","Bacteriostatic","Bactericidal","Bactericidal","Don't Know","Don't Know","Don't Know","Bactericidal","Amikacin","Erythromycin","Cephalexin","Trimethoprim-Sulfamethoxazole","Clindamycin, Cefpodoxime, Ciprofloxacin","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Slightly confident","Somewhat confident","Very confident","Very confident","Somewhat confident","Very confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","Don't Know","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21"
"FALSE","57","Small Animal","","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Somewhat confident","TRUE","TRUE","FALSE","Inhibition of nucleic acid synthesis","Inhibition of cell wall synthesis","Inhibition of protein synthesis","Don't Know","Inhibition of protein synthesis","Don't Know","Don't Know","Inhibition of nucleic acid synthesis","Inhibition of protein synthesis","Bactericidal","Bacteriostatic","Bactericidal","Bacteriostatic","Don't Know","Don't Know","Bactericidal","Bacteriostatic","Amikacin","Erythromycin","Gentamicin","Enrofloxacin","Don't Know","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Not at all confident","Not at all confident","Not at all confident","Slightly confident","Slightly confident","Slightly confident","Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14"
"FALSE","58","Other","","Very confident","Slightly confident","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","TRUE","TRUE","TRUE","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Inhibition of folic acid synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"FALSE","59","Small Animal","","Very confident","Slightly confident","Slightly confident","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","TRUE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
